SYMBOL,NAME,CLOSE,VOLUME,UPDATE_DATE,UPDATE_TIME
ABSLAMC,ABSLAMC,780.5,1306938,2026-01-25,10:17:31
INOXWIND,INOXWIND,103.56,8154566,2026-01-25,10:17:31
AEGISVOPAK,AEGISVOPAK,201.22,304743,2026-01-25,10:17:31
CREDITACC,CREDITACC,1392.7,4522919,2026-01-25,10:17:31
SUNTV,SUNTV,563.95,288790,2026-01-25,10:17:31
AFFLE,AFFLE,1579.8,139683,2026-01-25,10:17:31
EMAMILTD,EMAMILTD,504.45,375429,2026-01-25,10:17:31
IIFL,IIFL,521.15,14085105,2026-01-25,10:17:31
WOCKPHARMA,WOCKPHARMA,1351.6,259368,2026-01-25,10:17:31
SYNGENE,SYNGENE,543.8,4138289,2026-01-25,10:17:31
FSL,FSL,313.6,477777,2026-01-25,10:17:31
SHYAMMETL,SHYAMMETL,779.1,85281,2026-01-25,10:17:31
DEEPAKNTR,DEEPAKNTR,1563.6,50860,2026-01-25,10:17:31
PNBHOUSING,PNBHOUSING,812.4,3807984,2026-01-25,10:17:31
PFIZER,PFIZER,4591.0,7285,2026-01-25,10:17:31
SUMICHEM,SUMICHEM,418.85,268338,2026-01-25,10:17:31
ASTRAZEN,ASTRAZEN,8319.0,5165,2026-01-25,10:17:31
KIOCL,KIOCL,339.9,133321,2026-01-25,10:17:31
TENNIND,TENNIND,511.9,804833,2026-01-25,10:17:31
ECLERX,ECLERX,4323.9,38812,2026-01-25,10:17:31
CUB,CUB,275.45,1194672,2026-01-25,10:17:31
AADHARHFC,AADHARHFC,468.4,261668,2026-01-25,10:17:31
EIHOTEL,EIHOTEL,322.4,169171,2026-01-25,10:17:31
PPLPHARMA,PPLPHARMA,151.41,2745484,2026-01-25,10:17:31
BAYERCROP,BAYERCROP,4385.2,11425,2026-01-25,10:17:31
HATSUN,HATSUN,878.8,45493,2026-01-25,10:17:31
REDINGTON,REDINGTON,250.7,2060276,2026-01-25,10:17:31
AMBER,AMBER,5565.5,297126,2026-01-25,10:17:31
HBLENGINE,HBLENGINE,706.1,1215987,2026-01-25,10:17:31
WELCORP,WELCORP,730.6,269356,2026-01-25,10:17:31
SUNDRMFAST,SUNDRMFAST,910.5,29289,2026-01-25,10:17:31
PSB,PSB,26.92,1071704,2026-01-25,10:17:31
KPIL,KPIL,1107.8,103491,2026-01-25,10:17:31
ERIS,ERIS,1385.6,94274,2026-01-25,10:17:31
CESC,CESC,140.43,1619223,2026-01-25,10:17:31
BRIGADE,BRIGADE,760.15,1405372,2026-01-25,10:17:31
JSWHL,JSWHL,16630.0,1460,2026-01-25,10:17:31
KANSAINER,KANSAINER,227.08,181741,2026-01-25,10:17:31
