SYMBOL,NAME,CLOSE,CHANGE%,VOLUME,FETCH_DATE
VBL,VBL,474.1,-2.668856497639088,3352354,2026-01-25 09:59
PAISALO,PAISALO,32.65,-0.06121824303643442,3306461,2026-01-25 09:59
VIKASLIFE,VIKASLIFE,1.66,-1.7751479289940846,3294949,2026-01-25 09:59
INDIANB,INDIANB,876.45,-2.2637301366043996,3266265,2026-01-25 09:59
UNITECH,UNITECH,4.96,0.20202020202019771,3263834,2026-01-25 09:59
RALLIS,RALLIS,268.5,-0.8127077946065714,3255846,2026-01-25 09:59
J&KBANK,J&KBANK,104.1,-2.7920440750770465,3245025,2026-01-25 09:59
HDFCLIFE,HDFCLIFE,712.1,-1.7928561577713418,3232798,2026-01-25 09:59
GPPL,GPPL,165.88,-2.3143513338437116,3180448,2026-01-25 09:59
LODHA,LODHA,900.3,-4.780539397144373,3143100,2026-01-25 09:59
TATAPOWER,TATAPOWER,345.25,-2.278516841211438,3122016,2026-01-25 09:59
HOMEFIRST,HOMEFIRST,1112.8,6.122448979591842,3109946,2026-01-25 09:59
IBULLSLTD,IBULLSLTD,11.44,-0.8665511265164615,3104444,2026-01-25 09:59
PETRONET,PETRONET,278.1,1.1088892928558485,3056627,2026-01-25 09:59
MEDICO,MEDICO,53.23,7.949705941999582,2996683,2026-01-25 09:59
NETWORK18,NETWORK18,36.45,-4.506156667539949,2988178,2026-01-25 09:59
MCX,MCX,2282.0,-1.382886776145203,2959911,2026-01-25 09:59
EPACKPEB,EPACKPEB,184.1,-9.997555609875345,2941375,2026-01-25 09:59
ANANTRAJ,ANANTRAJ,501.4,-6.750976380881545,2901719,2026-01-25 09:59
PINELABS,PINELABS,240.15,-0.9772389905987153,2865486,2026-01-25 09:59
IRCON,IRCON,152.88,-3.1424227065382717,2801912,2026-01-25 09:59
EDELWEISS,EDELWEISS,104.1,-2.964205816554816,2801017,2026-01-25 09:59
TATACAP,TATACAP,351.75,-1.8006700167504157,2791829,2026-01-25 09:59
ENGINERSIN,ENGINERSIN,167.15,-5.2115231938301,2791086,2026-01-25 09:59
JINDALSTEL,JINDALSTEL,1063.6,-1.1524163568773318,2761031,2026-01-25 09:59
AUBANK,AUBANK,966.1,-3.4431062915396464,2752861,2026-01-25 09:59
PPLPHARMA,PPLPHARMA,151.41,-3.2523961661341874,2745484,2026-01-25 09:59
